foundPlaceName,placeName,country,identifier,longitude,latitude
"New York","New York","United States","5128581","-74.00597","40.71427"
"New-York","New York","United States","5128581","-74.00597","40.71427"
"New Yok","New York","United States","5128581","-74.00597","40.71427"
"Genève","Geneva","Switzerland","2660646","6.14569","46.20222"
"Putte-Beerzel","Beerzel","Belgium","2802422","4.67127","51.05753"
"Daarna, Antwerpen","Antwerpen","Belgium","2803138","4.40026","51.22047"
"Berlin","Berlin","Germany","2950159","13.41053","52.52437"
"Edingen = Enghien","Enghien","Belgium","2798747","4.03788","50.69375"
"Moudon","Moudon","Belgium","2659569","6.79781","46.66758"
"Tunhout","Turnhout","Belgium","2785141","4.94471","51.32254"
"Brussel = Bruxelles","Brussels","Belgium","2800866","4.34878","50.85045"
"= Brussel","Brussels","Belgium","2800866","4.34878","50.85045"
"Bruxelles]","Brussels","Belgium","2800866","4.34878","50.85045"
"Brussel","Brussels","Belgium","2800866","4.34878","50.85045"
"Gand = Gent = Ghent","Gent","Belgium","2797656","3.71667","51.05"
"Dublin","Dublin","Ireland","2964574","-6.24889","53.33306"
"Warszawa","Warsaw","Poland","756135","21.01178","52.22977"
"Budapest","Budapest","Hungary","3054643","19.04045","47.49835"
"Torino","Turin","Italy","3165524","7.68682","45.07049"
"Kobenhavn","Copenhagen","Denmark","2618425","12.56553","55.67594"
"Lierde","Sint-Martens-Lierde","Belgium","2786585","3.82541","50.80371"
"Glarus","Glarus","Switzerland","2660594","9.06804","47.04057"
"Freiburg","Freiburg","Germany","2925177","7.85222","47.9959"
"London","London","UK","264374","-0.12574","51.50853"
"Keulen","Cologne","Germany","2886242","6.95","50.93333"
"Köln","Cologne","Germany","2886242","6.95","50.93333"
